,0
0,0.0006
1,0.0009
2,0.0011
3,0.0014
4,0.0021
5,0.0021
6,0.0023
7,0.0025
8,0.0027
9,0.0028
10,0.0028
11,0.003
12,0.0032
13,0.0032
14,0.0032
15,0.0032
16,0.0034
17,0.0034
18,0.0036
19,0.0038
20,0.0041
21,0.0045
22,0.0046
23,0.0048
24,0.0049
25,0.0054
26,0.0055
27,0.0067
28,0.007
29,0.0073
30,0.0074
31,0.0077
32,0.0079
33,0.008
34,0.0081
35,0.0082
36,0.0086
37,0.0092
38,0.0093
39,0.0097
40,0.0103
41,0.0104
42,0.0104
43,0.0104
44,0.0105
45,0.0107
46,0.011
47,0.011
48,0.0111
49,0.0112
50,0.0112
51,0.0117
52,0.0117
53,0.0119
54,0.012
55,0.013
56,0.0133
57,0.0137
58,0.0142
59,0.0143
60,0.0149
61,0.015
62,0.015
63,0.015
64,0.0151
65,0.0151
66,0.0152
67,0.0155
68,0.0155
69,0.0157
70,0.0159
71,0.0161
72,0.0163
73,0.0164
74,0.0167
75,0.0168
76,0.0171
77,0.0172
78,0.0172
79,0.0174
80,0.0176
81,0.018
82,0.0184
83,0.0186
84,0.0193
85,0.0195
86,0.0195
87,0.0196
88,0.0197
89,0.02
90,0.02
91,0.0206
92,0.021
93,0.0213
94,0.0214
95,0.0215
96,0.0216
97,0.0219
98,0.022
99,0.0221
100,0.0226
101,0.0228
102,0.0229
103,0.0232
104,0.0235
105,0.0238
106,0.0244
107,0.0246
108,0.0246
109,0.0247
110,0.0247
111,0.0248
112,0.0248
113,0.0249
114,0.0249
115,0.0252
116,0.0253
117,0.0253
118,0.0258
119,0.0258
120,0.0258
121,0.026
122,0.026
123,0.0262
124,0.0262
125,0.0262
126,0.0264
127,0.0266
128,0.0268
129,0.027
130,0.0272
131,0.0274
132,0.0275
133,0.028
134,0.028
135,0.0283
136,0.0284
137,0.0285
138,0.0287
139,0.0289
140,0.0291
141,0.0292
142,0.0295
143,0.0296
144,0.0301
145,0.0302
146,0.0305
147,0.0305
148,0.0305
149,0.0305
150,0.0305
151,0.0308
152,0.031
153,0.0311
154,0.0312
155,0.0312
156,0.0314
157,0.0314
158,0.0317
159,0.0317
160,0.0317
161,0.0318
162,0.0319
163,0.0323
164,0.0326
165,0.0333
166,0.0333
167,0.0336
168,0.0336
169,0.0337
170,0.0338
171,0.0339
172,0.034
173,0.0341
174,0.0343
175,0.0346
176,0.0349
177,0.0351
178,0.0354
179,0.0354
180,0.0354
181,0.0356
182,0.0358
183,0.036
184,0.0361
185,0.0365
186,0.0366
187,0.0368
188,0.0368
189,0.037
190,0.037
191,0.0372
192,0.0375
193,0.0376
194,0.0376
195,0.0378
196,0.0379
197,0.038
198,0.0385
199,0.0386
200,0.0386
201,0.0388
202,0.039
203,0.0395
204,0.0395
205,0.04
206,0.0401
207,0.0403
208,0.0405
209,0.0407
210,0.0409
211,0.041
212,0.0411
213,0.0412
214,0.0412
215,0.0413
216,0.0414
217,0.0418
218,0.0419
219,0.0426
220,0.0426
221,0.0427
222,0.0428
223,0.0433
224,0.0435
225,0.0436
226,0.0438
